"id","jurisdiction_id","year","rate","margin_of_error"
"1","1","2006","14.9","2.3"
"2","2","2006","4.8","0.6"
"3","3","2006","19.2","1.5"
"4","4","2006","8.0","0.8"
"5","5","2006","4.4","0.9"
"6","6","2006","11.0","2.1"
"7","7","2006","4.0","0.7"
"8","8","2006","7.8","1.5"
"9","9","2006","6.2","1.1"
"10","10","2006","14.3","2.7"
"11","11","2006","4.5","0.8"
"12","12","2006","11.7","2.2"
"13","13","2006","4.7","0.8"
"14","14","2006","4.3","0.7"
"15","15","2006","10.3","1.9"
"16","16","2006","4.8","0.5"
"17","17","2006","7.7","0.8"
"18","18","2006","6.5","1.3"
"19","19","2006","21.1","3.9"
"20","20","2006","7.5","1.4"
"21","21","2006","7.7","1.5"
"22","22","2006","9.5","1.5"
"23","23","2006","12.3","2.0"
"24","24","2006","9.3","1.8"
"32","1","2007","14.2","2.1"
"33","2","2007","5.0","0.7"
"34","3","2007","19.9","1.6"
"35","4","2007","7.6","0.9"
"36","5","2007","5.2","1.1"
"37","6","2007","11.7","2.3"
"38","7","2007","4.7","0.9"
"39","8","2007","9.3","1.7"
"40","9","2007","5.9","1.3"
"41","10","2007","13.7","2.7"
"42","11","2007","5.3","1.0"
"43","12","2007","12.9","2.5"
"44","13","2007","5.6","1.0"
"45","14","2007","4.5","0.8"
"46","15","2007","12.7","2.5"
"47","16","2007","5.1","0.7"
"48","17","2007","8.1","0.9"
"49","18","2007","6.1","1.4"
"50","19","2007","23.0","4.7"
"51","20","2007","7.7","1.5"
"52","21","2007","8.3","1.8"
"53","22","2007","10.5","1.6"
"54","23","2007","13.2","2.1"
"55","24","2007","9.2","1.9"
"63","1","2008","15.3","2.8"
"64","2","2008","5.0","0.8"
"65","3","2008","19.2","1.6"
"66","4","2008","7.9","0.9"
"67","5","2008","5.6","1.0"
"68","6","2008","10.8","2.0"
"69","7","2008","5.6","0.9"
"70","8","2008","7.2","1.3"
"71","9","2008","6.2","1.0"
"72","10","2008","14.3","2.7"
"73","11","2008","5.4","0.9"
"74","12","2008","15.0","2.6"
"75","13","2008","5.7","0.9"
"76","14","2008","4.3","0.8"
"77","15","2008","12.0","2.5"
"78","16","2008","5.8","0.6"
"79","17","2008","6.7","0.7"
"80","18","2008","6.3","1.2"
"81","19","2008","23.1","4.6"
"82","20","2008","7.4","1.4"
"83","21","2008","8.3","1.6"
"84","22","2008","9.4","1.4"
"85","23","2008","12.8","1.9"
"86","24","2008","10.5","2.0"
"94","1","2009","16.6","3.3"
"95","2","2009","6.8","1.0"
"96","3","2009","20.9","1.7"
"97","4","2009","8.3","1.0"
"98","5","2009","5.4","1.4"
"99","6","2009","13.2","2.9"
"100","7","2009","5.9","1.1"
"101","8","2009","10.0","1.8"
"102","9","2009","6.4","1.6"
"103","10","2009","15.4","3.5"
"104","11","2009","5.7","1.0"
"105","12","2009","12.6","3.0"
"106","13","2009","6.2","1.2"
"107","14","2009","4.5","1.0"
"108","15","2009","14.4","3.0"
"109","16","2009","6.7","0.8"
"110","17","2009","7.8","1.1"
"111","18","2009","7.3","1.7"
"112","19","2009","24.0","5.9"
"113","20","2009","8.5","1.7"
"114","21","2009","8.8","2.2"
"115","22","2009","12.4","1.9"
"116","23","2009","13.2","2.5"
"117","24","2009","12.0","2.4"
"125","1","2010","17.1","3.0"
"126","2","2010","6.6","1.1"
"127","3","2010","24.7","1.8"
"128","4","2010","8.2","1.2"
"129","5","2010","6.2","1.4"
"130","6","2010","13.0","2.8"
"131","7","2010","5.4","1.1"
"132","8","2010","10.5","2.0"
"133","9","2010","6.2","1.4"
"134","10","2010","16.2","3.2"
"135","11","2010","5.6","1.2"
"136","12","2010","15.1","3.1"
"137","13","2010","6.9","1.4"
"138","14","2010","5.2","1.1"
"139","15","2010","14.2","3.1"
"140","16","2010","7.5","0.8"
"141","17","2010","9.4","1.2"
"142","18","2010","7.3","1.7"
"143","19","2010","19.3","5.5"
"144","20","2010","7.5","1.9"
"145","21","2010","9.7","2.2"
"146","22","2010","11.4","2.1"
"147","23","2010","16.6","2.8"
"148","24","2010","10.6","2.7"
"156","1","2011","19.1","3.4"
"157","2","2011","6.5","1.2"
"158","3","2011","24.5","1.7"
"159","4","2011","9.6","1.2"
"160","5","2011","6.1","1.5"
"161","6","2011","13.1","2.7"
"162","7","2011","5.5","1.2"
"163","8","2011","9.7","2.2"
"164","9","2011","7.7","1.5"
"165","10","2011","17.5","3.3"
"166","11","2011","6.6","1.2"
"167","12","2011","12.0","2.9"
"168","13","2011","8.3","1.2"
"169","14","2011","6.0","1.1"
"170","15","2011","13.9","3.4"
"171","16","2011","6.7","0.8"
"172","17","2011","9.4","1.0"
"173","18","2011","8.7","1.7"
"174","19","2011","26.2","6.0"
"175","20","2011","8.6","1.8"
"176","21","2011","10.8","2.2"
"177","22","2011","11.8","1.7"
"178","23","2011","17.7","2.6"
"179","24","2011","13.0","2.6"
"187","1","2012","18.1","2.8"
"188","2","2012","6.3","1.0"
"189","3","2012","24.5","1.7"
"190","4","2012","9.7","1.0"
"191","5","2012","7.0","1.3"
"192","6","2012","15.7","2.7"
"193","7","2012","6.3","1.1"
"194","8","2012","11.9","1.9"
"195","9","2012","8.6","1.3"
"196","10","2012","18.4","2.9"
"197","11","2012","6.8","1.1"
"198","12","2012","14.5","2.6"
"199","13","2012","7.9","1.0"
"200","14","2012","5.3","1.0"
"201","15","2012","14.0","3.1"
"202","16","2012","6.6","0.8"
"203","17","2012","10.3","0.9"
"204","18","2012","8.2","1.6"
"205","19","2012","29.6","6.2"
"206","20","2012","8.4","1.7"
"207","21","2012","9.7","2.1"
"208","22","2012","13.7","1.9"
"209","23","2012","16.7","2.6"
"210","24","2012","11.1","2.4"
"218","1","2013","18.6","3.3"
"219","2","2013","7.3","1.1"
"220","3","2013","22.7","1.6"
"221","4","2013","9.5","1.0"
"222","5","2013","6.9","1.4"
"223","6","2013","16.7","2.8"
"224","7","2013","6.8","1.2"
"225","8","2013","9.8","2.0"
"226","9","2013","8.0","1.5"
"227","10","2013","17.7","3.3"
"228","11","2013","6.9","1.2"
"229","12","2013","15.9","2.9"
"230","13","2013","7.4","1.2"
"231","14","2013","5.3","1.1"
"232","15","2013","14.9","3.2"
"233","16","2013","7.0","0.9"
"234","17","2013","9.9","1.0"
"235","18","2013","8.4","1.8"
"236","19","2013","28.5","5.7"
"237","20","2013","8.2","1.8"
"238","21","2013","10.9","2.2"
"239","22","2013","12.0","2.1"
"240","23","2013","16.5","2.8"
"241","24","2013","13.1","2.5"
